Education,Income,Kidhome,Teenhome,Recency,Wines,Fruits,Meat,Fish,Sweets,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Response,Customer_For,Age,Spent,Living_With,TotalPurchases,Children,Family_Size,Is_Parent,Living_With_Descendants
Undergraduate,23559.0,1,0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,639,48,79,Partner,9,1,3,1,Yes
Postgraduate,38620.0,0,0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,396,58,318,Partner,11,0,2,0,No
Graduate,81361.0,0,0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,284,34,778,Alone,27,0,1,0,No
Graduate,29440.0,1,1,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,393,61,56,Partner,7,2,4,1,Yes
Postgraduate,36138.0,1,1,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,0,508,51,151,Partner,13,2,4,1,Yes
Graduate,50388.0,0,1,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,1,192,64,372,Alone,17,1,2,1,Yes
Graduate,79593.0,0,0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,0,1,48,1366,Partner,19,0,2,0,No
Graduate,54178.0,0,1,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,319,54,194,Partner,10,1,3,1,Yes
Postgraduate,42394.0,1,0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,258,49,32,Alone,5,1,2,1,Yes
Postgraduate,23626.0,1,0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,196,51,43,Partner,10,1,3,1,Yes
Graduate,30096.0,1,0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,198,38,45,Partner,6,1,3,1,Yes
Graduate,47916.0,0,1,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,0,744,61,606,Alone,22,1,2,1,Yes
Graduate,51813.0,1,1,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,397,49,63,Alone,7,2,3,1,Yes
Undergraduate,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,693,70,978,Partner,25,0,2,0,No
Postgraduate,50150.0,0,0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,534,38,410,Partner,16,0,2,0,No
Undergraduate,47823.0,0,1,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,501,61,72,Alone,7,1,2,1,Yes
Postgraduate,34554.0,0,1,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,251,62,55,Alone,7,1,2,1,Yes
Graduate,85693.0,0,1,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,595,42,1169,Partner,27,1,3,1,Yes
Postgraduate,65846.0,0,0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,568,76,1120,Partner,16,0,2,0,No
Graduate,87195.0,0,0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,123,62,1097,Partner,20,0,2,0,No
Undergraduate,24594.0,1,0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,420,42,29,Partner,5,1,3,1,Yes
Graduate,49096.0,1,1,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,438,57,187,Partner,13,2,4,1,Yes
Graduate,52413.0,0,2,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,672,52,910,Partner,26,2,4,1,Yes
Graduate,38557.0,1,0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,717,43,145,Alone,9,1,2,1,Yes
Postgraduate,89058.0,0,0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,877,61,850,Partner,14,0,2,0,No
Graduate,77298.0,0,1,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,663,42,969,Partner,24,1,3,1,Yes
Postgraduate,68126.0,0,0,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,1,786,30,1820,Alone,17,0,1,0,No
Postgraduate,57288.0,0,1,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,0,164,58,608,Partner,20,1,3,1,Yes
Graduate,86037.0,0,0,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,1,673,30,730,Alone,25,0,1,0,No
Postgraduate,43974.0,1,0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,724,41,551,Partner,21,1,3,1,Yes
Graduate,50785.0,1,1,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,423,59,114,Alone,8,2,3,1,Yes
Graduate,90765.0,0,0,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,0,316,51,1724,Partner,15,0,2,0,No
Undergraduate,36550.0,1,0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,655,43,577,Partner,20,1,3,1,Yes
Undergraduate,30753.0,1,1,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,394,54,81,Partner,7,2,4,1,Yes
Graduate,21918.0,1,0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,387,52,33,Partner,7,1,3,1,Yes
Postgraduate,56129.0,0,1,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,534,68,660,Partner,22,1,3,1,Yes
Postgraduate,32557.0,1,0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,285,54,80,Alone,9,1,2,1,Yes
Postgraduate,19510.0,2,0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,606,36,30,Partner,6,2,4,1,Yes
Graduate,30992.0,1,0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,593,45,43,Alone,5,1,2,1,Yes
Graduate,101970.0,0,0,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,1,368,38,1135,Alone,27,0,1,0,No
Undergraduate,71488.0,0,0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,656,56,559,Partner,16,0,2,0,No
Graduate,79607.0,0,0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,594,37,1923,Alone,16,0,1,0,No
Postgraduate,54348.0,1,1,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,122,68,90,Partner,8,2,4,1,Yes
Postgraduate,77376.0,1,1,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,62,65,661,Partner,23,2,4,1,Yes
Graduate,62998.0,0,1,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,432,69,463,Partner,19,1,3,1,Yes
Postgraduate,61331.0,1,1,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,429,63,632,Alone,23,2,3,1,Yes
Graduate,73448.0,0,0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,65,52,725,Partner,19,0,2,0,No
Postgraduate,41551.0,1,1,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,479,57,279,Partner,16,2,4,1,Yes
Postgraduate,62981.0,0,0,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,0,629,54,1482,Partner,23,0,2,0,No
Undergraduate,9548.0,1,0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,850,45,29,Alone,6,1,2,1,Yes
Postgraduate,33762.0,2,1,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,517,62,106,Partner,9,3,5,1,Yes
Postgraduate,35860.0,1,1,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,1,201,48,49,Alone,6,2,3,1,Yes
Postgraduate,36921.0,1,1,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,496,56,38,Alone,7,2,3,1,Yes
Postgraduate,92859.0,0,0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,778,29,2077,Alone,22,0,1,0,No
Postgraduate,65104.0,0,1,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,387,45,1053,Partner,17,1,3,1,Yes
Graduate,86111.0,0,0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,596,59,1385,Partner,23,0,2,0,No
Postgraduate,68352.0,0,1,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,465,47,871,Alone,25,1,2,1,Yes
Graduate,41883.0,1,0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,627,33,312,Partner,12,1,3,1,Yes
Graduate,59809.0,0,2,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,779,45,877,Partner,15,2,4,1,Yes
Graduate,23957.0,1,0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,769,46,68,Partner,6,1,3,1,Yes
Graduate,38547.0,1,0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,465,40,22,Partner,4,1,3,1,Yes
Undergraduate,35688.0,2,1,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,836,48,211,Partner,16,3,5,1,Yes
Postgraduate,49605.0,0,0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,168,55,127,Partner,8,0,2,0,No
Postgraduate,59354.0,0,2,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,226,68,459,Partner,16,2,4,1,Yes
Graduate,65747.0,0,1,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,0,156,52,460,Partner,19,1,3,1,Yes
Undergraduate,46344.0,0,1,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,722,49,429,Partner,17,1,3,1,Yes
Graduate,34176.0,1,0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,1,33,89,Alone,11,1,2,1,Yes
Postgraduate,61010.0,0,1,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,817,69,1021,Partner,26,1,3,1,Yes
Graduate,69372.0,0,0,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,1,655,72,1381,Partner,21,0,2,0,No
Graduate,49967.0,0,1,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,486,63,306,Alone,15,1,2,1,Yes
Graduate,60199.0,1,2,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,362,43,18,Alone,4,3,4,1,Yes
Graduate,55375.0,0,1,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,415,44,162,Partner,9,1,3,1,Yes
Graduate,80317.0,0,0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,473,66,1231,Alone,18,0,1,0,No
Postgraduate,30523.0,2,1,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,698,63,13,Alone,4,3,4,1,Yes
Postgraduate,70356.0,0,0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,939,76,1706,Partner,27,0,2,0,No
Graduate,23228.0,1,0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,219,37,121,Partner,11,1,3,1,Yes
Postgraduate,74165.0,0,0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,700,46,1293,Alone,20,0,1,0,No
Postgraduate,157243.0,0,1,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,0,337,48,1608,Partner,37,1,3,1,Yes
Graduate,43482.0,2,1,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,388,55,88,Partner,9,3,5,1,Yes
Graduate,62551.0,0,0,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,0,383,68,421,Alone,18,0,1,0,No
Graduate,52332.0,0,0,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,0,465,62,259,Alone,12,0,1,0,No
Graduate,66951.0,0,0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,663,33,1117,Alone,15,0,1,0,No
Graduate,26091.0,1,1,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,284,64,89,Partner,9,2,4,1,Yes
Graduate,33456.0,1,1,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,229,56,36,Partner,6,2,4,1,Yes
Graduate,28718.0,1,0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,511,39,57,Partner,7,1,3,1,Yes
Graduate,50447.0,2,0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,229,51,148,Partner,8,2,4,1,Yes
Postgraduate,53537.0,1,1,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,310,62,93,Partner,8,2,4,1,Yes
Graduate,52074.0,0,1,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,0,246,54,119,Alone,7,1,2,1,Yes
Postgraduate,80427.0,0,1,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,727,46,1835,Partner,28,1,3,1,Yes
Postgraduate,83837.0,0,0,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,1,720,73,1318,Partner,25,0,2,0,No
Postgraduate,38853.0,1,1,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,197,51,45,Partner,7,2,4,1,Yes
Graduate,38285.0,2,1,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,165,62,10,Partner,4,3,5,1,Yes
Undergraduate,78497.0,0,0,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,0,693,70,978,Partner,25,0,2,0,No
Postgraduate,51650.0,0,1,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,31,45,191,Partner,10,1,3,1,Yes
Undergraduate,16248.0,1,0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,62,33,57,Partner,9,1,3,1,Yes
Postgraduate,66835.0,0,0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,434,75,1033,Partner,24,0,2,0,No
Postgraduate,30477.0,1,0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,318,37,66,Partner,6,1,3,1,Yes
Undergraduate,28249.0,0,0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,174,60,43,Partner,6,0,2,0,No
Graduate,25271.0,1,0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,938,38,50,Partner,5,1,3,1,Yes
Postgraduate,32303.0,0,1,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,125,51,39,Alone,7,1,2,1,Yes
Graduate,61286.0,0,1,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,666,55,608,Partner,18,1,3,1,Yes
Graduate,74068.0,0,0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,627,45,1581,Partner,24,0,2,0,No
Postgraduate,45759.0,1,1,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,651,57,68,Partner,7,2,4,1,Yes
Undergraduate,24882.0,1,0,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,0,818,43,80,Partner,5,1,3,1,Yes
Postgraduate,66973.0,0,0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,568,32,1282,Partner,28,0,2,0,No
Graduate,38872.0,1,0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,555,33,91,Partner,8,1,3,1,Yes
